macro_grade,int_micro,observation_number,Total_number,Percentage
0,0,21,21,100
0.7,0,19,19,100
1,0,49,50,98
1,1,1,50,2
1.3,0,50,54,92.6
1.3,1,4,54,7.4
1.7,0,176,183,96.2
1.7,1,7,183,3.8
2,0,315,331,95.2
2,1,16,331,4.8
2.3,0,354,387,91.5
2.3,1,33,387,8.5
2.7,0,398,428,93
2.7,1,30,428,7
3,0,519,579,89.6
3,1,60,579,10.4
3.3,0,384,431,89.1
3.3,1,47,431,10.9
3.7,0,343,398,86.2
3.7,1,55,398,13.8
4,0,326,424,76.9
4,1,98,424,23.1
