student_id,female,minority,macro_age,macro_age2,macro_class_size,macro_percent_female,macrolettergrade,macro_repeater,macro_course,macro_grade,macro_aarts,econ_major_at_macro,bus_major_at_macro,nonlerner_at_macro,macro_relative_grade,mafem_adjunct,mamale_adjunct,mafem_prof,mamale_prof,mafem_gradta,mamale_gradta,macro_econ,sat_math,sat_verb,int_micro,nonfresh_macro,mayear_07_08,mayear_08_09,mayear_09_10,mayear_10_11,mayear_11_12,mayear_12_13,mayear_13_14,mayear_14_15,mayear_15_16,mean_gpa_no_macro,mean_gpa_nomacro,_merge
1723580457,1,0,20,400,32,0.46875,C-,0,ECON1521942088,1.6699999570846558,0,0,0,1,0.7007471323013306,0,0,0,1,0,0,1,55,53,0,1,0,1,0,0,0,0,0,0,0,NA,2.3831708431243896,2
1723585448,1,0,20,400,8,0.625,C-,0,ECON1523102083,1.6699999570846558,1,0,0,1,0.6040121912956238,0,0,0,1,0,0,1,32,40,0,1,1,0,0,0,0,0,0,0,0,NA,2.7648448944091797,2
1723600587,1,0,20,400,30,0.4333333373069763,B-,0,ECON1527102083,2.6700000762939453,1,0,0,1,1.1523637771606445,1,0,0,0,0,0,1,49,48,0,1,1,0,0,0,0,0,0,0,0,NA,2.31697678565979,2
1723602541,1,0,20,400,7,0.7142857313156128,A,0,ECON1525102083,4,1,0,0,1,1.0376505851745605,0,0,0,1,0,0,1,59,60,0,1,1,0,0,0,0,0,0,0,0,NA,3.8548619747161865,2
1723605247,1,1,20,400,34,0.5882353186607361,A-,0,ECON152112088,3.6700000762939453,0,0,0,1,1.1323983669281006,0,0,0,0,0,1,1,61,57,1,1,0,1,0,0,0,0,0,0,0,NA,3.2409090995788574,2
1723606175,1,0,20,400,33,0.4848484992980957,B-,1,ECON152122093,2.6700000762939453,0,0,0,1,1.0278916358947754,0,0,0,0,0,1,1,45,56,0,1,0,1,0,0,0,0,0,0,0,NA,2.5975499153137207,2
1723610847,1,0,20,400,271,0.41697415709495544,A-,0,ECON152102093,3.6700000762939453,0,0,0,1,1.034693717956543,0,0,0,1,0,0,1,59,50,0,1,0,1,0,0,0,0,0,0,0,NA,3.546943187713623,2
1723611457,1,1,21,441,16,0.25,A,0,ECON1521942103,4,0,0,0,1,1.2435908317565918,0,0,0,1,0,0,1,65,46,0,1,0,0,1,0,0,0,0,0,0,NA,3.216491937637329,2
1723611487,1,1,19,361,35,0.6571428775787354,A-,0,ECON152122083,3.6700000762939453,0,0,0,1,1.0242916345596313,0,0,0,0,0,1,1,56,60,0,1,1,0,0,0,0,0,0,0,0,NA,3.5829639434814453,2
1723614018,1,0,19,361,30,0.4333333373069763,C,0,ECON1527102083,2,1,1,0,0,0.6998267769813538,1,0,0,0,0,0,1,48,48,0,1,1,0,0,0,0,0,0,0,0,NA,2.8578500747680664,2
1723615786,1,1,21,441,28,0.4285714328289032,B+,0,ECON152142098,3.3299999237060547,0,0,0,1,1.249120831489563,0,0,0,0,1,0,1,46,41,0,1,0,0,1,0,0,0,0,0,0,NA,2.66587495803833,2
1723620834,1,0,19,361,44,0.5454545617103577,B,0,ECON1521942083,3,0,0,1,0,0.8891454935073853,0,0,0,1,0,0,1,67,62,0,1,1,0,0,0,0,0,0,0,0,NA,3.37402606010437,2
1723623331,1,1,20,400,36,0.3888888955116272,D,0,ECON152142093,1,0,0,0,1,0.4033322036266327,0,0,0,0,0,1,1,63,53,0,1,0,1,0,0,0,0,0,0,0,NA,2.4793457984924316,2
1723633242,1,0,19,361,8,0.625,A,0,ECON1523102083,4,1,0,0,1,1.0767922401428223,0,0,0,1,0,0,1,55,47,0,1,1,0,0,0,0,0,0,0,0,NA,3.7147369384765625,2
1723638112,1,0,21,441,28,0.25,B-,0,ECON1521942098,2.6700000762939453,0,0,0,1,1.1623704433441162,0,0,0,1,0,0,1,53,59,0,1,0,0,1,0,0,0,0,0,0,NA,2.297030210494995,2
1723641120,1,0,20,400,35,0.4285714328289032,B-,0,ECON152172093,2.6700000762939453,0,0,0,1,0.9748083353042603,0,0,0,0,1,0,1,56,51,0,1,0,1,0,0,0,0,0,0,0,NA,2.739000082015991,2
1723645022,1,0,19,361,35,0.5142857432365417,B,0,ECON152112078,3,0,0,0,1,1.5435274839401245,0,0,0,0,0,1,1,52,57,1,1,1,0,0,0,0,0,0,0,0,NA,1.943600058555603,2
1723645467,1,0,20,400,28,0.4285714328289032,C,0,ECON1521942093,2,0,0,0,1,0.6104114055633545,0,0,0,1,0,0,1,48,62,0,1,0,1,0,0,0,0,0,0,0,NA,3.2764787673950195,2
1723646156,1,1,20,400,36,0.5,F,0,ECON152152093,0,0,0,0,1,0,0,0,0,0,0,1,1,45,64,0,1,0,1,0,0,0,0,0,0,0,NA,1.719499945640564,2
1723653864,1,0,19,361,35,0.6000000238418579,C,0,ECON152172083,2,0,0,0,1,0.7468553185462952,0,0,0,0,0,1,1,57,55,0,1,1,0,0,0,0,0,0,0,0,NA,2.6778948307037354,2
1723654628,1,0,20,400,34,0.5882353186607361,B,0,ECON152112088,3,0,1,0,0,1.0013959407806396,0,0,0,0,0,1,1,51,55,1,1,0,1,0,0,0,0,0,0,0,NA,2.9958181381225586,2
1723660622,1,0,19,361,35,0.6571428775787354,C+,0,ECON152122083,2.3299999237060547,0,0,1,0,0.860750138759613,0,0,0,0,0,1,1,56,57,0,1,1,0,0,0,0,0,0,0,0,NA,2.7069411277770996,2
1723660716,1,0,19,361,44,0.5454545617103577,A-,0,ECON1521942083,3.6700000762939453,0,0,0,1,1.1772750616073608,0,0,0,1,0,0,1,62,53,0,1,1,0,0,0,0,0,0,0,0,NA,3.117368459701538,2
1723661480,1,1,19,361,273,0.4395604431629181,A-,0,ECON152112083,3.6700000762939453,0,0,0,1,1.0317927598953247,0,0,0,1,0,0,1,72,79,0,1,1,0,0,0,0,0,0,0,0,NA,3.5569159984588623,2
1723665340,1,0,19,361,35,0.6571428775787354,A,0,ECON152122083,4,0,0,0,1,1.073033332824707,0,0,0,0,0,1,1,66,64,0,1,1,0,0,0,0,0,0,0,0,NA,3.727750062942505,2
1723666025,1,0,21,441,32,0.5625,A,0,ECON152172103,4,0,0,0,1,1.1695619821548462,0,0,0,0,1,0,1,66,70,0,1,0,0,1,0,0,0,0,0,0,NA,3.420083999633789,2
1723666553,1,0,19,361,44,0.5454545617103577,A-,0,ECON1521942083,3.6700000762939453,0,0,0,1,1.2153211832046509,0,0,0,1,0,0,1,45,55,0,1,1,0,0,0,0,0,0,0,0,NA,3.019777774810791,2
1723668035,1,1,19,361,273,0.4395604431629181,C+,0,ECON152112083,2.3299999237060547,0,0,0,1,0.9907453656196594,0,0,0,1,0,0,1,41,59,0,1,1,0,0,0,0,0,0,0,0,NA,2.351764678955078,2
1723670471,1,1,19,361,35,0.5142857432365417,A-,0,ECON152152083,3.6700000762939453,0,0,0,1,1.3598188161849976,0,0,0,0,0,1,1,43,45,0,1,1,0,0,0,0,0,0,0,0,NA,2.6988887786865234,2
1723672381,1,0,19,361,30,0.4333333373069763,D+,0,ECON1527102083,1.3300000429153442,1,1,0,0,0.5295761823654175,1,0,0,0,0,0,1,52,57,1,1,1,0,0,0,0,0,0,0,0,NA,2.5114424228668213,2
1723673652,1,0,19,361,34,0.5882353186607361,A,0,ECON152112088,4,0,0,0,1,1.0581327676773071,0,0,0,0,0,1,1,65,54,0,1,0,1,0,0,0,0,0,0,0,NA,3.7802438735961914,2
1723675615,1,0,19,361,273,0.4395604431629181,B-,0,ECON152112083,2.6700000762939453,0,0,0,1,0.8865938782691956,0,0,0,1,0,0,1,54,53,0,1,1,0,0,0,0,0,0,0,0,NA,3.0115253925323486,2
1723675761,1,0,19,361,273,0.4395604431629181,C,0,ECON152112083,2,0,0,0,1,0.7650377750396729,0,0,0,1,0,0,1,47,60,0,1,1,0,0,0,0,0,0,0,0,NA,2.6142499446868896,2
1723675788,1,1,19,361,35,0.6571428775787354,C+,0,ECON152122083,2.3299999237060547,0,0,1,0,0.9672388434410095,0,0,0,0,0,1,1,55,56,0,1,1,0,0,0,0,0,0,0,0,NA,2.408918857574463,2
1723677282,1,0,19,361,21,0.5714285969734192,B+,0,ECON152802083,3.3299999237060547,0,0,1,0,0.9269472360610962,0,0,0,1,0,0,1,74,65,0,1,1,0,0,0,0,0,0,0,0,NA,3.592437505722046,2
1723680056,1,1,19,361,269,0.5130111575126648,B+,0,ECON152102083,3.3299999237060547,0,0,1,0,0.8620192408561707,0,0,0,1,0,0,1,68,64,0,1,1,0,0,0,0,0,0,0,0,NA,3.863022804260254,2
1723681852,1,0,18,324,273,0.4395604431629181,B-,0,ECON152112083,2.6700000762939453,0,0,1,0,0.8495744466781616,0,0,0,1,0,0,1,73,59,0,1,1,0,0,0,0,0,0,0,0,NA,3.1427500247955322,2
1723682624,1,0,19,361,271,0.41697415709495544,A-,0,ECON152102093,3.6700000762939453,0,0,1,0,1.0087873935699463,0,0,0,1,0,0,1,72,71,0,1,0,1,0,0,0,0,0,0,0,NA,3.638031244277954,2
1723683806,1,0,18,324,21,0.5714285969734192,B,0,ECON152802083,3,0,0,1,0,0.8299603462219238,0,0,0,1,0,0,1,69,65,1,1,1,0,0,0,0,0,0,0,0,NA,3.6146304607391357,2
1723684073,1,1,18,324,273,0.4395604431629181,B+,0,ECON152112083,3.3299999237060547,0,0,0,1,1.0240392684936523,0,0,0,1,0,0,1,68,76,0,1,1,0,0,0,0,0,0,0,0,NA,3.251828670501709,2
1723684736,1,1,19,361,57,0.2982456088066101,A,0,ECON152162088,4,0,0,0,1,1.2509204149246216,0,0,1,0,0,0,1,72,75,0,1,0,1,0,0,0,0,0,0,0,NA,3.197645664215088,2
1723685644,1,0,20,400,39,0.43589743971824646,B+,0,ECON152182103,3.3299999237060547,0,0,0,1,0.9368802905082703,0,0,1,0,0,0,1,54,54,0,1,0,0,1,0,0,0,0,0,0,NA,3.554349422454834,2
1723685738,1,0,18,324,35,0.6000000238418579,B,0,ECON152172083,3,0,0,1,0,0.9030263423919678,0,0,0,0,0,1,1,59,53,0,1,1,0,0,0,0,0,0,0,0,NA,3.32216215133667,2
1723686166,1,0,18,324,13,0.6153846383094788,A,0,ECON152812083,4,0,0,1,0,1.0850005149841309,0,0,1,0,0,0,1,75,73,0,1,1,0,0,0,0,0,0,0,0,NA,3.686634063720703,2
1723686750,1,0,18,324,13,0.6153846383094788,A-,0,ECON152812083,3.6700000762939453,0,0,1,0,1.082077145576477,0,0,1,0,0,0,1,75,68,1,1,1,0,0,0,0,0,0,0,0,NA,3.391624927520752,2
1723701280,1,0,19,361,20,0.550000011920929,B+,0,ECON152802088,3.3299999237060547,0,0,0,1,0.9987253546714783,0,0,1,0,0,0,1,71,79,0,1,0,1,0,0,0,0,0,0,0,NA,3.334249973297119,2
1723701340,1,0,18,324,34,0.47058823704719543,B+,0,ECON152162083,3.3299999237060547,0,0,1,0,1.1522490978240967,0,0,0,0,1,0,1,61,64,0,1,1,0,0,0,0,0,0,0,0,NA,2.890000104904175,2
1723701864,1,0,18,324,34,0.4117647111415863,A-,0,ECON152102088,3.6700000762939453,0,0,0,1,1.0577952861785889,0,0,0,0,0,1,1,78,66,1,1,0,1,0,0,0,0,0,0,0,NA,3.469480514526367,2
1723703500,1,0,19,361,33,0.5454545617103577,A,0,ECON152152098,4,0,0,0,1,1.045319676399231,0,0,0,0,1,0,1,69,72,0,1,0,0,1,0,0,0,0,0,0,NA,3.826580762863159,2
1723704223,1,0,19,361,272,0.40808823704719543,A,0,ECON152102103,4,0,0,1,0,1.2264161109924316,0,0,0,1,0,0,1,55,63,0,1,0,0,1,0,0,0,0,0,0,NA,3.26153564453125,2
1723704353,1,0,18,324,21,0.5714285969734192,B-,0,ECON152802083,2.6700000762939453,0,0,1,0,0.8154450058937073,0,0,0,1,0,0,1,63,71,0,1,1,0,0,0,0,0,0,0,0,NA,3.2742857933044434,2
1723711877,1,0,19,361,44,0.5454545617103577,B+,0,ECON1521942083,3.3299999237060547,0,0,0,1,1.1014667749404907,0,0,0,1,0,0,1,79,58,0,1,1,0,0,0,0,0,0,0,0,NA,3.0232412815093994,2
1723712047,1,0,20,400,36,0.6944444179534912,A,0,ECON152132083,4,0,0,0,1,1.1974023580551147,0,0,0,0,1,0,1,50,52,0,1,1,0,0,0,0,0,0,0,0,NA,3.340564489364624,2
1723712317,1,0,21,441,38,0.5263158082962036,A,0,ECON152182093,4,0,0,0,1,1.0204967260360718,0,0,1,0,0,0,1,64,60,0,1,0,1,0,0,0,0,0,0,0,NA,3.9196600914001465,2
1723712813,1,0,19,361,35,0.4000000059604645,D,0,ECON152132088,1,0,0,0,1,0.3391025960445404,0,0,0,0,0,1,1,65,64,0,1,0,1,0,0,0,0,0,0,0,NA,2.948960065841675,2
1723712845,1,0,18,324,269,0.5130111575126648,A-,0,ECON152102083,3.6700000762939453,0,0,1,0,1.0044786930084229,0,0,0,1,0,0,1,66,63,0,1,1,0,0,0,0,0,0,0,0,NA,3.6536364555358887,2
1723712884,1,0,19,361,269,0.5130111575126648,B,0,ECON152102083,3,0,0,1,0,0.9158653020858765,0,0,0,1,0,0,1,68,59,0,1,1,0,0,0,0,0,0,0,0,NA,3.2755908966064453,2
1723713548,1,1,18,324,35,0.6000000238418579,C+,0,ECON152172083,2.3299999237060547,0,0,1,0,0.9130834341049194,0,0,0,0,0,1,1,65,58,0,1,1,0,0,0,0,0,0,0,0,NA,2.551793098449707,2
1723713864,1,0,19,361,35,0.5142857432365417,A,0,ECON152152083,4,0,0,1,0,1.303424596786499,0,0,0,0,0,1,1,51,64,0,1,1,0,0,0,0,0,0,0,0,NA,3.068838596343994,2
1723714124,1,0,19,361,269,0.5130111575126648,B,0,ECON152102083,3,0,0,0,1,0.837043046951294,0,0,0,1,0,0,1,55,60,0,1,1,0,0,0,0,0,0,0,0,NA,3.584044933319092,2
1723714600,1,0,20,400,273,0.4395604431629181,C,0,ECON152112083,2,0,0,0,1,0.7282202243804932,0,0,0,1,0,0,1,55,53,0,1,1,0,0,0,0,0,0,0,0,NA,2.7464218139648437,2
1723715644,1,0,18,324,36,0.6944444179534912,A,0,ECON152132083,4,0,0,1,0,1.0712218284606934,0,0,0,0,1,0,1,67,64,1,1,1,0,0,0,0,0,0,0,0,NA,3.7340540885925293,2
1723716281,1,0,19,361,269,0.5130111575126648,B,0,ECON152102083,3,0,0,0,1,0.8761177659034729,0,0,0,1,0,0,1,65,53,0,1,1,0,0,0,0,0,0,0,0,NA,3.424197196960449,2
1723716534,1,0,19,361,35,0.5714285969734192,C+,0,ECON152162093,2.3299999237060547,0,0,0,1,0.7184057831764221,0,0,0,0,1,0,1,66,64,0,1,0,1,0,0,0,0,0,0,0,NA,3.2432923316955566,2
1723717218,1,1,18,324,34,0.529411792755127,A-,0,ECON152142083,3.6700000762939453,0,0,0,1,1.2617664337158203,0,0,0,0,0,1,1,57,50,0,1,1,0,0,0,0,0,0,0,0,NA,2.908620595932007,2
1723717437,1,0,19,361,269,0.5130111575126648,B,0,ECON152102083,3,0,0,1,0,0.9646302461624146,0,0,0,1,0,0,1,68,60,0,1,1,0,0,0,0,0,0,0,0,NA,3.109999895095825,2
1723717820,1,0,20,400,32,0.46875,A,0,ECON1521942088,4,0,0,0,1,1.8351213932037354,0,0,0,1,0,0,1,56,51,0,1,0,1,0,0,0,0,0,0,0,NA,2.179692268371582,2
1723718801,1,0,19,361,35,0.4000000059604645,C+,0,ECON152132088,2.3299999237060547,0,0,0,1,0.8192545771598816,0,0,0,0,0,1,1,63,57,0,1,0,1,0,0,0,0,0,0,0,NA,2.8440487384796143,2
1723718815,1,0,19,361,34,0.47058823704719543,B-,0,ECON152162083,2.6700000762939453,0,0,0,1,1.041379690170288,0,0,0,0,1,0,1,64,56,1,1,1,0,0,0,0,0,0,0,0,NA,2.563906192779541,2
1723720155,1,0,18,324,273,0.4395604431629181,B-,0,ECON152112083,2.6700000762939453,0,0,1,0,0.8955670595169067,0,0,0,1,0,0,1,53,59,0,1,1,0,0,0,0,0,0,0,0,NA,2.981351375579834,2
1723721404,1,0,20,400,34,0.5882353186607361,A-,0,ECON152112088,3.6700000762939453,0,0,0,1,1.120354175567627,0,0,0,0,0,1,1,64,54,1,1,0,1,0,0,0,0,0,0,0,NA,3.275749921798706,2
1723721784,1,0,20,400,35,0.34285715222358704,C,0,ECON152122088,2,0,0,0,1,0.6793996691703796,0,0,0,0,0,1,1,57,64,0,1,0,1,0,0,0,0,0,0,0,NA,2.943775177001953,2
1723722018,1,0,19,361,34,0.4117647111415863,A-,0,ECON152102088,3.6700000762939453,0,0,0,1,1.0081530809402466,0,0,0,0,0,1,1,63,61,0,1,0,1,0,0,0,0,0,0,0,NA,3.640320062637329,2
1723722122,1,0,19,361,273,0.4395604431629181,C-,0,ECON152112083,1.6699999570846558,0,0,0,1,0.8200631141662598,0,0,0,1,0,0,1,47,50,0,1,1,0,0,0,0,0,0,0,0,NA,2.036428689956665,2
1723722135,1,0,19,361,39,0.4871794879436493,B+,0,ECON152162078,3.3299999237060547,0,0,0,1,1.2548818588256836,0,1,0,0,0,0,1,61,56,0,1,1,0,0,0,0,0,0,0,0,NA,2.6536364555358887,2
1723722613,1,0,21,441,35,0.4285714328289032,A-,0,ECON152172093,3.6700000762939453,0,0,0,1,0.9799983501434326,0,0,0,0,1,0,1,55,79,0,1,0,1,0,0,0,0,0,0,0,NA,3.7449042797088623,2
1723722834,1,0,18,324,44,0.5454545617103577,B-,0,ECON1521942083,2.6700000762939453,0,0,0,1,0.9446625113487244,0,0,0,1,0,0,1,61,54,0,1,1,0,0,0,0,0,0,0,0,NA,2.826406240463257,2
1723723025,1,0,19,361,35,0.6571428775787354,B-,0,ECON152122083,2.6700000762939453,0,0,0,1,0.9505008459091187,0,0,0,0,0,1,1,59,54,0,1,1,0,0,0,0,0,0,0,0,NA,2.8090455532073975,2
1723723714,1,0,19,361,57,0.2982456088066101,C+,0,ECON152162088,2.3299999237060547,0,0,0,1,0.9328999519348145,0,0,1,0,0,0,1,44,53,0,1,0,1,0,0,0,0,0,0,0,NA,2.4975881576538086,2
1723724421,1,0,19,361,273,0.4395604431629181,C+,0,ECON152112083,2.3299999237060547,0,0,0,1,0.8635615110397339,0,0,0,1,0,0,1,59,58,0,1,1,0,0,0,0,0,0,0,0,NA,2.6981284618377686,2
1723725370,1,0,21,441,16,0.25,B,0,ECON1521942103,3,0,0,0,1,1.3848817348480225,0,0,0,1,0,0,1,53,52,0,1,0,0,1,0,0,0,0,0,0,NA,2.166249990463257,2
1723725467,1,0,19,361,269,0.5130111575126648,B,0,ECON152102083,3,0,0,0,1,1.0221813917160034,0,0,0,1,0,0,1,64,58,0,1,1,0,0,0,0,0,0,0,0,NA,2.9349000453948975,2
1723726426,1,0,20,400,269,0.5130111575126648,C-,0,ECON152102083,1.6699999570846558,0,0,0,1,0.5127694606781006,0,0,0,1,0,0,1,63,60,0,1,1,0,0,0,0,0,0,0,0,NA,3.256824254989624,2
1723726621,1,1,19,361,273,0.4395604431629181,B+,0,ECON152112083,3.3299999237060547,0,0,0,1,0.979172945022583,0,0,0,1,0,0,1,66,58,0,1,1,0,0,0,0,0,0,0,0,NA,3.400829315185547,2
1723727401,1,0,18,324,273,0.4395604431629181,C+,0,ECON152112083,2.3299999237060547,0,0,0,1,0.7979934215545654,0,0,0,1,0,0,1,62,57,0,1,1,0,0,0,0,0,0,0,0,NA,2.91982364654541,2
1723727787,1,0,19,361,8,0.625,A-,0,ECON1523102083,3.6700000762939453,1,0,0,1,1.0086792707443237,0,0,0,1,0,0,1,48,48,0,1,1,0,0,0,0,0,0,0,0,NA,3.638421058654785,2
1723730162,1,0,19,361,273,0.4395604431629181,B+,0,ECON152112083,3.3299999237060547,0,0,0,1,1.1824520826339722,0,0,0,1,0,0,1,65,58,1,1,1,0,0,0,0,0,0,0,0,NA,2.8161818981170654,2
1723730832,1,0,19,361,34,0.4117647111415863,B+,0,ECON152102088,3.3299999237060547,0,0,0,1,1.0747195482254028,0,0,0,0,0,1,1,60,60,0,1,0,1,0,0,0,0,0,0,0,NA,3.098482608795166,2
1723731482,1,0,19,361,35,0.6571428775787354,B,0,ECON152122083,3,0,0,0,1,0.9054594039916992,0,0,0,0,0,1,1,61,57,0,1,1,0,0,0,0,0,0,0,0,NA,3.313235282897949,2
1723732042,1,0,20,400,33,0.4545454680919647,C,0,ECON152142088,2,0,0,0,1,0.8724660277366638,0,0,0,0,1,0,1,55,55,0,1,0,1,0,0,0,0,0,0,0,NA,2.2923529148101807,2
